"nb","gflops","ib"
32,2.04807680288011,16
34,2.30152130886435,17
36,2.56292503927665,18
38,2.77201313462996,19
40,3.04240349876402,20
42,3.10285039409651,21
44,3.37449244359934,22
46,3.52656444740732,23
48,3.85495132161892,24
50,3.44446557049994,25
52,2.89927749002012,13
54,3.82810201853954,27
56,4.16197026216128,28
58,4.14220629508698,29
60,4.37136352137617,30
62,4.4999046502363,31
64,4.74203567597489,32
66,4.36568388060789,33
68,4.56311595433285,34
70,4.68343143961582,35
72,4.88166237679704,36
74,4.77510493531836,37
76,4.96985094160615,38
78,5.08608964898573,39
80,5.31323712084813,40
82,4.92086356618205,41
84,5.09051557548118,42
86,5.17110290889579,43
88,5.34290888848817,44
90,5.2733230615655,45
92,5.43772739017186,46
94,5.51051901782693,47
96,5.60718948449165,48
98,5.17983742701001,49
100,5.37724029273696,50
102,5.45439967105263,51
104,5.62426375736243,52
106,5.5413361373079,53
108,5.70005429864253,54
110,5.77934286570301,55
112,5.91376821049884,56
114,5.64873283793213,38
116,5.66288873732023,58
118,5.74498765708371,59
120,6.0104138768213,40
122,5.23907592968202,61
124,5.89393766094056,62
126,5.96972129626037,63
128,6.00799862487824,64
130,5.71112174021545,65
132,5.86726530612245,44
134,5.89913551734114,67
136,6.00672918263594,68
138,5.90887363495943,69
140,6.02153180395788,70
142,6.04203040757974,71
144,6.2424274099641,48
146,5.79921289187698,73
148,5.93954539958006,74
150,5.98360757462667,30
152,6.16103424017067,38
154,5.71242848249952,22
156,6.17313452251256,39
158,6.16459607428813,79
160,6.38320419396463,40
162,6.14331168774872,54
164,5.91478366045412,41
166,6.08550283302136,83
168,6.15825155461814,84
170,6.05935030642084,85
172,5.91250999274945,86
174,6.14844433862508,58
176,6.30205565040881,88
178,5.97261161808764,89
180,6.22880609209704,60
182,6.1162753890794,91
184,6.42533537145109,46
186,6.2367155470696,31
188,6.23216499873381,47
190,6.36885306789481,38
192,6.36781315507733,48
194,5.6981964334491,97
196,5.82267658567518,28
198,5.85271094556997,66
200,6.42451595287618,40
202,5.84203334089363,101
204,6.01327648000453,102
206,5.84764236452543,103
208,6.10662920814587,104
210,6.19672131147541,70
