nb, ib, time
32, 2, 0.000132675
32, 4, 3.9086e-05
32, 8, 2.04392e-05
32, 16, 1.59994e-05
34, 2, 7.04501e-05
34, 17, 1.70774e-05
36, 2, 7.82451e-05
36, 3, 8.51978e-05
36, 4, 4.25502e-05
36, 6, 3.06732e-05
36, 9, 2.66985e-05
36, 12, 2.20024e-05
36, 18, 1.82042e-05
38, 2, 8.42922e-05
38, 19, 1.9795e-05
40, 2, 9.46882e-05
40, 4, 5.22086e-05
40, 5, 4.46739e-05
40, 8, 3.0856e-05
40, 10, 2.98806e-05
40, 20, 2.1036e-05
42, 2, 0.000104417
42, 3, 7.56073e-05
42, 6, 4.32514e-05
42, 7, 3.88047e-05
42, 14, 2.82658e-05
42, 21, 2.38774e-05
44, 2, 0.000115977
44, 4, 6.54329e-05
44, 11, 3.6621e-05
44, 22, 2.52435e-05
46, 2, 0.000124149
46, 23, 2.76008e-05
48, 2, 0.000139218
48, 3, 9.84694e-05
48, 4, 7.67393e-05
48, 6, 5.51457e-05
48, 8, 4.53864e-05
48, 12, 4.0054e-05
48, 16, 3.27248e-05
48, 24, 2.86883e-05
50, 2, 0.00015106
50, 5, 7.2386e-05
50, 10, 5.12867e-05
50, 25, 3.62901e-05
52, 2, 0.000166705
52, 4, 9.41372e-05
52, 13, 4.84976e-05
52, 26, 6.87998e-05
54, 2, 0.000179397
54, 3, 0.00012881
54, 6, 7.33641e-05
54, 9, 6.61201e-05
54, 18, 4.63584e-05
54, 27, 4.11337e-05
56, 2, 0.000190698
56, 4, 0.000107934
56, 7, 7.02594e-05
56, 8, 6.40706e-05
56, 14, 5.20008e-05
56, 28, 4.21954e-05
58, 2, 0.000208656
58, 29, 4.71034e-05
60, 2, 0.000225353
60, 3, 0.000161668
60, 4, 0.000128861
60, 5, 0.000108577
60, 6, 9.23871e-05
60, 10, 7.73256e-05
60, 12, 6.926e-05
60, 15, 6.0461e-05
60, 20, 5.64544e-05
60, 30, 4.94125e-05
62, 2, 0.000268326
62, 31, 5.29629e-05
64, 2, 0.000260501
64, 4, 0.000144614
64, 8, 8.61333e-05
64, 16, 6.48855e-05
64, 32, 5.52809e-05
66, 2, 0.000277424
66, 3, 0.000199353
66, 6, 0.000116662
66, 11, 9.39635e-05
66, 22, 6.75263e-05
66, 33, 6.58536e-05
68, 2, 0.000299587
68, 4, 0.000169334
68, 17, 8.493e-05
68, 34, 6.89073e-05
70, 2, 0.000343802
70, 5, 0.000152159
70, 7, 0.000118073
70, 10, 0.000110767
70, 14, 8.93975e-05
70, 35, 7.32369e-05
72, 2, 0.000336747
72, 3, 0.000240017
72, 4, 0.000190181
72, 6, 0.00013791
72, 8, 0.000113143
72, 9, 0.000128037
72, 12, 0.000104891
72, 18, 9.16459e-05
72, 24, 7.83171e-05
72, 36, 7.64592e-05
74, 2, 0.000425208
74, 37, 8.48618e-05
76, 2, 0.000391285
76, 4, 0.00022126
76, 19, 0.000106648
76, 38, 8.83278e-05
78, 2, 0.000405902
78, 3, 0.000291134
78, 6, 0.000167975
78, 13, 0.000124721
78, 26, 0.000103768
78, 39, 9.33039e-05
80, 2, 0.000463003
80, 4, 0.000244952
80, 5, 0.000207332
80, 8, 0.000147589
80, 10, 0.000153141
80, 16, 0.000113408
80, 20, 0.0001141
80, 40, 9.63631e-05
82, 2, 0.000459007
82, 41, 0.000112047
84, 2, 0.000525202
84, 3, 0.000350469
84, 4, 0.000277253
84, 6, 0.000204743
84, 7, 0.000183899
84, 12, 0.000156941
84, 14, 0.000142659
84, 21, 0.000131538
84, 28, 0.000122196
84, 42, 0.000116433
86, 2, 0.000516857
86, 43, 0.000123002
88, 2, 0.000572258
88, 4, 0.000306409
88, 8, 0.00018478
88, 11, 0.000186978
88, 22, 0.00013772
88, 44, 0.000127547
90, 2, 0.000575143
90, 3, 0.000443311
90, 5, 0.000278772
90, 6, 0.000242026
90, 9, 0.000229208
90, 10, 0.000210607
90, 15, 0.000165146
90, 18, 0.000168362
90, 30, 0.00014258
90, 45, 0.000138243
92, 2, 0.00060727
92, 4, 0.000375291
92, 23, 0.000155408
92, 46, 0.000143201
94, 2, 0.000631023
94, 47, 0.000150727
96, 2, 0.000665752
96, 3, 0.0004751
96, 4, 0.00040392
96, 6, 0.000275372
96, 8, 0.000227965
96, 12, 0.000218262
96, 16, 0.000184256
96, 24, 0.000166572
96, 32, 0.000159945
96, 48, 0.000157786
98, 2, 0.000745217
98, 7, 0.000270891
98, 14, 0.00021485
98, 49, 0.000181703
100, 2, 0.000752559
100, 4, 0.000425617
100, 5, 0.000363754
100, 10, 0.000307952
100, 20, 0.000209953
100, 25, 0.000207605
100, 50, 0.000185969
102, 2, 0.000786022
102, 3, 0.000561604
102, 6, 0.000326069
102, 17, 0.000358363
102, 34, 0.000202141
102, 51, 0.00019456
104, 2, 0.000826602
104, 4, 0.000466358
104, 8, 0.000285339
104, 13, 0.000289263
104, 26, 0.000220564
104, 52, 0.000200002
106, 2, 0.000858146
106, 53, 0.000214933
108, 2, 0.000938606
108, 3, 0.00064282
108, 4, 0.000512506
108, 6, 0.000374598
108, 9, 0.000364214
