"nb","gflops","ib"
32,2.13083625959162,8
34,2.4531728842757,17
36,2.80357657917508,18
38,2.75694360705816,19
40,3.19718647590121,20
42,2.91945951696989,21
44,3.18552036199095,22
46,3.07793497302664,23
48,3.64266375056818,24
50,3.23994515420843,25
52,3.50292225748751,26
54,3.4128325834222,27
56,3.77349895679565,28
58,3.45941422297399,29
60,3.97913899537794,20
62,3.80228525116384,31
64,4.1998141561729,32
66,3.88406282677244,33
68,4.10694740141848,34
70,3.96802443285015,35
72,4.31390361537688,36
74,4.01537882241027,37
76,4.22331899827787,38
78,4.07971114167813,39
80,4.42214180219552,40
82,4.12450535229389,41
84,4.41591417076442,28
86,4.16220708429036,43
88,4.477418167961,44
90,4.22420137098223,30
92,4.3796218180182,46
94,4.25467044366013,47
96,4.55352372913632,48
98,4.0988933938969,49
100,4.4678160868186,50
102,4.35955813179635,34
104,4.62070325336839,52
106,4.34964702960715,53
108,4.6528649363409,36
110,4.39188408857681,55
112,4.66784503953751,56
114,4.49224984839296,38
116,4.49388203997259,58
118,4.37514179656919,59
120,4.74434618351944,40
122,4.46704173934007,61
124,4.62188349199192,62
126,4.55602170080763,42
128,4.74618035988693,32
130,4.51072863563291,65
132,4.59790372655286,44
134,4.3488077443749,67
136,4.46286909575421,68
138,4.4876899275637,46
140,4.69992583571841,28
142,4.57874798310687,71
144,4.8870441898527,48
146,4.55989286478281,73
148,4.45717428367156,37
150,4.49784103630257,50
152,4.60708785168354,76
154,4.55396217192832,77
156,4.83521320495186,52
158,4.64758448414008,79
160,4.95774538782012,40
162,4.78904570036305,54
164,4.75707854941234,82
166,4.669736065711,83
168,4.8,56
170,4.54259666771456,34
172,4.80904262357055,43
174,4.81537842778793,58
176,4.92375275459702,44
178,4.60380401952621,89
180,4.95328690334636,36
182,4.71246951410168,91
184,4.86057239162323,46
186,4.82199508422756,62
188,4.8292575149718,94
190,4.77752702552101,38
192,5.06221516542934,48
194,4.73341285688354,97
196,4.99200169725257,28
198,4.90576502559565,66
200,4.63306152705708,100
202,4.39416982982898,101
204,4.91533250732408,68
206,4.7334423495522,103
208,5.05483019334255,52
210,4.93693559220837,42
212,4.93409283924022,53
214,4.81537327659909,107
216,5.11205259313367,36
218,4.80467842766246,109
220,5.1365171249397,44
222,4.84644701755008,74
224,4.93493975903615,56
226,4.5697088700802,113
228,5.01907802799963,76
230,4.83785030378217,115
232,4.99522685633366,58
234,4.68506530546577,39
236,4.83230493220788,59
238,4.56580574803736,119
240,4.9242343285815,40
242,4.5696771156438,22
244,4.70945471049731,61
246,4.99769568545301,82
248,4.74887045754564,124
250,4.80733730432214,125
252,5.18071065989848,36
254,4.58541024249106,127
256,5.1995933850693,64
258,4.7222789891935,43
260,5.20609945379794,52
262,4.70356205082068,131
264,5.13686702588012,88
266,4.59739610050173,133
268,4.83814043271938,67
270,5.03471067615476,90
272,5.07716497290315,68
274,4.715548077408,137
276,5.00323068868688,92
278,4.7371680557393,139
280,5.03426196875602,28
282,5.06033107083544,94
284,5.12576003723545,71
286,4.56548881542227,26
288,5.21516878217472,72
290,5.01344373365785,58
292,5.00854731116172,73
294,4.88263920378127,49
296,5.08233375923995,74
298,4.73509470693277,149
300,5.18720029509406,60
302,4.74256905439982,151
304,4.87934086393509,76
