nb, ib, time
32, 2, 0.00070004
32, 4, 8.45385e-05
32, 8, 1.5378e-05
32, 16, 2.12383e-05
34, 2, 3.90625e-05
34, 17, 1.60217e-05
36, 2, 4.45414e-05
36, 3, 3.55768e-05
36, 4, 3.01218e-05
36, 6, 2.57826e-05
36, 9, 2.25019e-05
36, 12, 1.77383e-05
36, 18, 1.66416e-05
38, 2, 4.98438e-05
38, 19, 1.99032e-05
40, 2, 5.37777e-05
40, 4, 3.65782e-05
40, 5, 3.65782e-05
40, 8, 2.51198e-05
40, 10, 2.63214e-05
40, 20, 2.00176e-05
42, 2, 6.08015e-05
42, 3, 4.88997e-05
42, 6, 3.69024e-05
42, 7, 3.32594e-05
42, 14, 2.76566e-05
42, 21, 2.53773e-05
44, 2, 6.85596e-05
44, 4, 4.73595e-05
44, 11, 3.34597e-05
44, 22, 2.6741e-05
46, 2, 7.55596e-05
46, 23, 3.16238e-05
48, 2, 8.1358e-05
48, 3, 6.64425e-05
48, 4, 5.81217e-05
48, 6, 5.05209e-05
48, 8, 4.02594e-05
48, 12, 3.71981e-05
48, 16, 3.26777e-05
48, 24, 3.03602e-05
50, 2, 8.81004e-05
50, 5, 6.598e-05
50, 10, 4.7121e-05
50, 25, 3.85809e-05
52, 2, 9.92012e-05
52, 4, 7.00998e-05
52, 13, 4.83227e-05
52, 26, 4.01402e-05
54, 2, 0.000110278
54, 3, 9.15003e-05
54, 6, 6.91795e-05
54, 9, 6.26612e-05
54, 18, 4.82416e-05
54, 27, 4.61388e-05
56, 2, 0.000118098
56, 4, 8.40187e-05
56, 7, 6.93798e-05
56, 8, 5.91612e-05
56, 14, 5.54371e-05
56, 28, 4.65393e-05
58, 2, 0.000126681
58, 29, 5.64003e-05
60, 2, 0.000136499
60, 3, 0.000109
60, 4, 9.31406e-05
60, 5, 9.63211e-05
60, 6, 8.29792e-05
60, 10, 6.87027e-05
60, 12, 6.03008e-05
60, 15, 6.1779e-05
60, 20, 5.42831e-05
60, 30, 5.44977e-05
62, 2, 0.0001405
62, 31, 6.26802e-05
64, 2, 0.000147762
64, 4, 0.000109601
64, 8, 7.89976e-05
64, 16, 6.6762e-05
64, 32, 6.2418e-05
66, 2, 0.000160179
66, 3, 0.000136576
66, 6, 0.000107498
66, 11, 8.86822e-05
66, 22, 7.55167e-05
66, 33, 7.40194e-05
68, 2, 0.000173316
68, 4, 0.0001262
68, 17, 8.55017e-05
68, 34, 7.6561e-05
70, 2, 0.000187144
70, 5, 0.000147018
70, 7, 0.00011642
70, 10, 0.000105257
70, 14, 9.70411e-05
70, 35, 8.6441e-05
72, 2, 0.00019556
72, 3, 0.000167661
72, 4, 0.000145979
72, 6, 0.000133944
72, 8, 0.000107441
72, 9, 0.000119777
72, 12, 9.78422e-05
72, 18, 9.5439e-05
72, 24, 8.76999e-05
72, 36, 8.65221e-05
74, 2, 0.0002108
74, 37, 0.000100918
76, 2, 0.000226583
76, 4, 0.000170336
76, 19, 0.000111637
76, 38, 0.000103941
78, 2, 0.00024332
78, 3, 0.000213122
78, 6, 0.000170541
78, 13, 0.00013792
78, 26, 0.000117478
78, 39, 0.00011632
80, 2, 0.000252981
80, 4, 0.00019588
80, 5, 0.000208879
80, 8, 0.00014564
80, 10, 0.00014956
80, 16, 0.000123863
80, 20, 0.000120196
80, 40, 0.000115781
82, 2, 0.00027112
82, 41, 0.000133681
84, 2, 0.000289879
84, 3, 0.000255361
84, 4, 0.000222478
84, 6, 0.000206356
84, 7, 0.000189476
84, 12, 0.00015624
84, 14, 0.000158181
84, 21, 0.000149102
84, 28, 0.00013422
84, 42, 0.000137382
86, 2, 0.000310802
86, 43, 0.000152817
88, 2, 0.000320678
88, 4, 0.000256782
88, 8, 0.000193262
88, 11, 0.000191016
88, 22, 0.000164199
88, 44, 0.000152202
90, 2, 0.000342159
90, 3, 0.000304117
90, 5, 0.000297518
90, 6, 0.000255718
90, 9, 0.000231361
90, 10, 0.000212402
90, 15, 0.000192318
90, 18, 0.000183444
90, 30, 0.000172577
90, 45, 0.000173459
92, 2, 0.000367699
92, 4, 0.000290399
92, 23, 0.000187044
92, 46, 0.000177798
94, 2, 0.000394502
94, 47, 0.000195217
96, 2, 0.00040432
96, 3, 0.000357819
96, 4, 0.000335083
96, 6, 0.000306439
96, 8, 0.000248203
96, 12, 0.000222878
96, 16, 0.000210319
96, 24, 0.000198503
96, 32, 0.000194798
96, 48, 0.000194297
98, 2, 0.000436659
98, 7, 0.000304537
98, 14, 0.00025218
98, 49, 0.000229621
100, 2, 0.00046618
100, 4, 0.000372596
100, 5, 0.000404301
100, 10, 0.000288544
100, 20, 0.000232019
100, 25, 0.000239482
100, 50, 0.000223823
102, 2, 0.000498643
102, 3, 0.000451241
