nb, ib, time
32, 2, 0.000113678
32, 4, 4.74787e-05
32, 8, 3.01027e-05
32, 16, 2.38609e-05
34, 2, 0.00010376
34, 17, 2.8801e-05
36, 2, 0.000119143
36, 3, 8.81815e-05
36, 4, 6.26802e-05
36, 6, 5.05781e-05
36, 9, 3.89624e-05
36, 12, 3.46375e-05
36, 18, 3.16811e-05
38, 2, 0.0001337
38, 19, 3.42035e-05
40, 2, 0.000143199
40, 4, 7.62796e-05
40, 5, 6.72817e-05
40, 8, 4.89616e-05
40, 10, 4.52995e-05
40, 20, 3.7117e-05
42, 2, 0.000163779
42, 3, 0.000123239
42, 6, 7.06625e-05
42, 7, 6.62565e-05
42, 14, 4.65965e-05
42, 21, 4.23813e-05
44, 2, 0.000178623
44, 4, 9.46617e-05
44, 11, 5.43165e-05
44, 22, 4.48847e-05
46, 2, 0.000200624
46, 23, 4.8337e-05
48, 2, 0.000213718
48, 3, 0.000160003
48, 4, 0.000114617
48, 6, 9.17006e-05
48, 8, 7.31611e-05
48, 12, 6.19602e-05
48, 16, 5.82218e-05
48, 24, 5.21803e-05
50, 2, 0.00023634
50, 5, 0.000110822
50, 10, 7.50828e-05
50, 25, 5.78642e-05
52, 2, 0.00026052
52, 4, 0.000138321
52, 13, 7.33566e-05
52, 26, 6.23369e-05
54, 2, 0.000279002
54, 3, 0.000207219
54, 6, 0.000119996
54, 9, 9.16815e-05
54, 18, 7.37e-05
54, 27, 6.32429e-05
56, 2, 0.00030282
56, 4, 0.000162644
56, 7, 0.000121617
56, 8, 0.00010366
56, 14, 8.41808e-05
56, 28, 7.10011e-05
58, 2, 0.000330582
58, 29, 7.8702e-05
60, 2, 0.00035358
60, 3, 0.000261898
60, 4, 0.00018918
60, 5, 0.000165877
60, 6, 0.000151782
60, 10, 0.000110979
60, 12, 0.000101476
60, 15, 9.60398e-05
60, 20, 8.81004e-05
60, 30, 8.28218e-05
62, 2, 0.000388842
62, 31, 8.50201e-05
64, 2, 0.000400782
64, 4, 0.000217662
64, 8, 0.000137138
64, 16, 0.00010736
64, 32, 9.46188e-05
66, 2, 0.000444202
66, 3, 0.000330658
66, 6, 0.000192261
66, 11, 0.000137062
66, 22, 0.000112519
66, 33, 0.00011436
68, 2, 0.000473599
68, 4, 0.000256681
68, 17, 0.00012476
68, 34, 0.0001191
70, 2, 0.000506639
70, 5, 0.000240941
70, 7, 0.00020452
70, 10, 0.000159783
70, 14, 0.000141397
70, 35, 0.000118718
72, 2, 0.000547857
72, 3, 0.00040668
72, 4, 0.000299864
72, 6, 0.000235019
72, 8, 0.000187402
72, 9, 0.000177441
72, 12, 0.000156579
72, 18, 0.000141101
72, 24, 0.000130739
72, 36, 0.000134196
74, 2, 0.000583663
74, 37, 0.000142798
76, 2, 0.000632281
76, 4, 0.000340538
76, 19, 0.000151544
76, 38, 0.000150461
78, 2, 0.000671358
78, 3, 0.000496116
78, 6, 0.000285459
78, 13, 0.000184903
78, 26, 0.00015934
78, 39, 0.000149722
