"nb","gflops","ib"
32,1.37329270899254,16
34,1.36467483767925,17
36,1.47267613813914,18
38,1.6042802637157,19
40,1.72427728534095,20
42,1.74812948163459,21
44,1.89784046679604,22
46,2.0136955127542,23
48,2.1194205476013,24
50,2.16023033239896,25
52,2.25561425094928,26
54,2.48982889778932,27
56,2.47342646804064,28
58,2.47912378338543,29
60,2.6080090024607,30
62,2.80319595013414,31
64,2.77052763298626,32
66,2.55508847394662,22
68,2.640067170445,34
70,2.88919961589649,35
72,2.85490939964356,24
74,2.83774282552977,37
76,2.91754009344614,38
78,3.16955424052577,39
80,3.12115190012314,40
82,3.14605408057881,41
84,3.27897366106252,42
86,3.55537171604248,43
88,3.4456410723134,44
90,3.47840193912558,45
92,3.56672773909857,46
94,3.85853320883215,47
96,3.78905172635312,32
98,3.63395997667945,49
100,3.74364983396913,50
102,4.07655193607867,51
104,3.90926625495668,52
106,3.89730366492147,53
108,4.03415080925633,54
110,4.37913937244399,55
112,4.15657941840409,56
114,4.17717578860707,57
116,4.27665001739817,58
118,4.69734317955052,59
120,4.46257941222044,60
122,4.44602016056961,61
124,4.62615616052798,31
126,4.9390048788196,63
128,4.69791062296007,32
130,4.3273331061664,65
132,4.46060455608609,44
134,4.82608782859504,67
136,4.53874829038393,68
138,4.64652050919378,46
140,4.74362143688166,35
142,5.04562812015951,71
144,4.84076771809915,48
146,4.81786868166147,73
148,4.93379884272013,74
150,5.39222656618219,75
152,5.06798279793344,76
154,5.10007973535125,77
156,5.20397026550225,52
158,5.38561591744165,79
160,5.50403732425311,32
162,5.23638782146024,54
164,5.05217053668683,41
166,5.24803928317386,83
168,5.47280410065109,56
170,5.04631351031552,85
172,5.58113986500271,43
174,5.61360301521996,58
176,5.38904748724843,44
178,5.24999255287459,89
180,5.81826888543038,60
182,5.76741925608449,91
184,5.67505147125808,46
186,5.93730946669127,62
188,6.0306329527509,47
190,5.95017089716675,95
192,6.06981339187706,32
194,5.26218288745387,97
196,5.81359523147719,49
198,5.73310289816538,99
200,5.96658711217184,50
202,5.44729301046844,101
204,6.4406390823433,51
206,5.87195615083896,103
208,6.19026497537353,52
210,5.88261449533126,42
212,6.29085435098376,53
214,6.16234311728162,107
216,6.37982299540396,54
218,5.83517246040507,109
220,6.91931794551882,55
222,6.18529691103975,74
224,6.64881569295568,32
226,5.48056974646282,113
228,6.33727503127907,57
230,6.24531614121898,46
232,6.45298330835616,58
234,6.29212410501193,78
236,6.96030416318058,59
238,6.17500549651887,119
240,6.70300044609089,60
242,6.01701961450284,22
244,6.77814462620965,61
246,6.38255903688841,82
248,6.89768644972234,62
250,6.70180916678819,50
252,7.35276917563383,63
254,6.53287513953118,127
256,6.96716665836116,64
