"nb","gflops","ib"
32,0.920951304924594,16
34,0.943664406584331,17
36,1.12596110684757,12
38,1.20515957294936,19
40,1.44073081070373,20
42,1.44672890626373,21
44,1.55789527587424,22
46,1.52940141287679,23
48,1.79429645024848,24
50,1.72104953731304,25
52,1.82317977656297,26
54,1.7685728565893,27
56,1.97972656109087,28
58,1.90392177909621,29
60,1.98917007404133,30
62,1.93888708102831,31
64,2.13913029286723,32
66,2.08212749315604,33
68,2.14447839371454,34
70,2.08633662402754,35
72,2.27152559702038,36
74,2.18300139527116,37
76,2.25796761516779,38
78,2.20747528782417,26
80,2.38934129780433,40
82,2.31251363094939,41
84,2.37546240446313,42
86,2.30571193463375,43
88,2.458856215046,44
90,2.40031609100787,45
92,2.45049218297626,46
94,2.41916495550992,47
96,2.66745457944151,48
98,2.60676124057631,49
100,2.65057941666048,50
102,2.60907662691125,34
104,2.74788692482827,52
106,2.77791875804676,53
108,2.82446003484297,54
110,2.76199527700883,55
112,2.92369899132418,56
114,2.8612835319338,57
116,2.90187621306879,58
118,2.84519529815958,59
120,2.96433025521031,40
122,2.60162070467414,61
124,2.83801517082058,62
126,2.78316280389903,63
128,3.01885749491855,64
130,2.98750605116155,65
132,3.03225440704758,44
134,2.96776182952265,67
136,3.00890426361596,68
138,3.03238260512376,46
140,3.04270543528762,70
142,3.0086320034549,71
144,3.14429947875533,48
146,3.07693585383216,73
148,3.13280182452478,74
150,3.13344288778097,50
152,3.18003495332011,76
154,3.02622817701989,77
156,3.18360405537992,52
158,3.11114686859126,79
160,3.23863591438489,80
162,3.19572452983358,54
164,3.22041936802757,82
166,3.08457139774505,83
168,3.25442490631306,84
170,3.21678779545603,85
172,3.2520486486141,86
174,3.26151026801469,58
176,3.31225682588673,88
178,3.26321660841993,89
180,3.3134857506477,60
182,3.25820988288196,91
184,3.33331763749023,92
186,3.3129230056375,62
188,3.32804359476502,94
190,3.27838293845205,95
192,3.35516484558318,64
194,3.31921826769649,97
196,3.34495892954718,98
198,3.35686973218186,66
200,3.38621471987539,100
202,3.34163416552473,101
204,3.36701699835807,102
206,3.31795498538733,103
208,3.41518575164044,104
210,3.39910590411592,70
212,3.39969742813918,106
214,3.35049913847332,107
216,3.45474416021611,72
218,3.38238067254326,109
220,3.39494265773507,44
222,3.45242577522254,74
224,3.45819918278935,56
226,3.40731810990153,113
228,3.48666270511335,76
230,3.4050234380466,46
232,3.46633725755813,116
234,3.49665668757999,78
236,3.44495388558803,118
238,3.40462814008167,119
240,3.54737141933348,80
242,3.45058591229698,121
244,3.47483333612402,122
246,3.53790448306019,82
248,3.50337452340484,124
250,3.49447035011797,50
252,3.54153842068224,84
254,3.42310708369628,127
256,3.51307486938951,64
258,3.50821350580054,86
260,3.43869589375572,52
262,3.40105181742023,131
264,3.53561101588741,88
266,3.42771369148002,133
268,3.45727571695677,134
270,3.54843652818215,90
272,3.48390854147298,68
274,3.45753702794829,137
276,3.56061482600478,92
278,3.44705655848698,139
280,3.52968605539253,70
282,3.58258563564155,94
284,3.504491705514,142
286,3.46674372630787,143
288,3.60954673411938,96
290,3.57003274493932,58
292,3.54120121922599,73
294,3.61925259813228,98
296,3.60439404047143,74
298,3.52172192287065,149
300,3.5632792198794,60
302,3.5099605340456,151
304,3.6376384614289,76
306,3.63943491658643,102
308,3.58890193631437,77
310,3.57671551118662,62
312,3.65701075020229,104
314,3.55907047752182,157
316,3.57031684734459,158
318,3.56611784432253,106
320,3.65903363010127,80
322,3.55929769797687,161
324,3.64930194631016,81
326,3.55116797284194,163
328,3.59381767519167,82
330,3.69140787504455,110
332,3.60219787575426,166
334,3.58304282183692,167
336,3.66439227960355,84
338,3.56735449539928,169
340,3.67200127058867,85
342,3.68685948128076,114
344,3.70999817724472,86
346,3.62540795070632,173
348,3.6895768877216,116
350,3.7143723468769,70
352,3.67262077386215,88
354,3.72945472887768,118
356,3.71121771460534,89
358,3.63315189763162,179
360,3.75903381486823,90
362,3.64834171627213,181
364,3.70746388899566,91
366,3.746906434134,122
368,3.78808391608392,92
370,3.76747887659169,74
372,3.74459705400982,124
