nb, ib, time
32, 2, 0.000142007
32, 4, 5.54525e-05
32, 8, 4.52619e-05
32, 16, 3.55806e-05
34, 2, 0.000107773
34, 17, 4.16504e-05
36, 2, 0.000129474
36, 3, 9.59e-05
36, 4, 7.35583e-05
36, 6, 5.63346e-05
36, 9, 4.96456e-05
36, 12, 4.14366e-05
36, 18, 4.82181e-05
38, 2, 0.000137277
38, 19, 4.55309e-05
40, 2, 0.000159689
40, 4, 9.09803e-05
40, 5, 8.20423e-05
40, 8, 6.17522e-05
40, 10, 5.64728e-05
40, 20, 4.44219e-05
42, 2, 0.000171765
42, 3, 0.000129054
42, 6, 8.16528e-05
42, 7, 7.2788e-05
42, 14, 5.95886e-05
42, 21, 5.12107e-05
44, 2, 0.000192788
44, 4, 0.000110154
44, 11, 7.25499e-05
44, 22, 5.46789e-05
46, 2, 0.000204199
46, 23, 6.36432e-05
48, 2, 0.00022973
48, 3, 0.000172331
48, 4, 0.000133315
48, 6, 0.000126507
48, 8, 8.76403e-05
48, 12, 7.49485e-05
48, 16, 7.06789e-05
48, 24, 6.16353e-05
50, 2, 0.000240793
50, 5, 0.000140822
50, 10, 8.6491e-05
50, 25, 7.26301e-05
52, 2, 0.000272922
52, 4, 0.000158037
52, 13, 0.00010046
52, 26, 7.71224e-05
54, 2, 0.000292351
54, 3, 0.000223569
54, 6, 0.000136114
54, 9, 0.000113536
54, 18, 9.53333e-05
54, 27, 8.90345e-05
56, 2, 0.000318161
56, 4, 0.000197846
56, 7, 0.000141742
56, 8, 0.000123838
56, 14, 0.000115206
56, 28, 8.87072e-05
58, 2, 0.000335699
58, 29, 0.000102479
60, 2, 0.000377521
60, 3, 0.000285484
60, 4, 0.000233174
60, 5, 0.000241863
60, 6, 0.000177555
60, 10, 0.000136067
60, 12, 0.000137272
60, 15, 0.000137767
60, 20, 0.00011308
60, 30, 0.000108588
62, 2, 0.000393172
62, 31, 0.00012292
64, 2, 0.000431595
64, 4, 0.000300325
64, 8, 0.000169859
64, 16, 0.000141476
64, 32, 0.000122547
66, 2, 0.0004526
66, 3, 0.000348589
66, 6, 0.000212374
66, 11, 0.000181271
66, 22, 0.000146039
66, 33, 0.000138078
68, 2, 0.000502792
68, 4, 0.000346606
68, 17, 0.000170929
68, 34, 0.000146624
70, 2, 0.000514305
70, 5, 0.000277187
70, 7, 0.000235347
70, 10, 0.000195059
70, 14, 0.000201226
70, 35, 0.000164403
72, 2, 0.000569851
72, 3, 0.000446998
72, 4, 0.000439165
72, 6, 0.000271965
72, 8, 0.00022885
72, 9, 0.000228864
72, 12, 0.000216436
72, 18, 0.000191217
72, 24, 0.000168899
72, 36, 0.000164316
74, 2, 0.000584454
74, 37, 0.000185627
76, 2, 0.000647209
76, 4, 0.00037834
76, 19, 0.00022642
76, 38, 0.000194412
78, 2, 0.000661395
78, 3, 0.000508397
78, 6, 0.000321983
78, 13, 0.000275686
78, 26, 0.000214975
78, 39, 0.000216931
80, 2, 0.000723029
80, 4, 0.000427296
80, 5, 0.000393391
80, 8, 0.000296064
80, 10, 0.000275805
80, 16, 0.000250261
80, 20, 0.000233702
80, 40, 0.000214285
82, 2, 0.000736817
82, 41, 0.000238428
84, 2, 0.00082775
84, 3, 0.000626835
84, 4, 0.00048316
84, 6, 0.000403864
84, 7, 0.000377032
84, 12, 0.000320905
84, 14, 0.000318592
84, 21, 0.000278582
84, 28, 0.000250195
84, 42, 0.000249511
86, 2, 0.000833478
86, 43, 0.000275861
88, 2, 0.000909066
88, 4, 0.000538676
88, 8, 0.000376094
88, 11, 0.000380517
88, 22, 0.000306967
88, 44, 0.00027715
90, 2, 0.000928057
90, 3, 0.000719893
90, 5, 0.000506312
90, 6, 0.00045515
90, 9, 0.000386912
90, 10, 0.000363215
90, 15, 0.000389779
90, 18, 0.000341981
90, 30, 0.000307961
90, 45, 0.00030371
92, 2, 0.0010231
92, 4, 0.000604825
92, 23, 0.000356601
92, 46, 0.000317768
94, 2, 0.00102037
94, 47, 0.000343335
96, 2, 0.00107417
96, 3, 0.000830366
96, 4, 0.00063434
96, 6, 0.000525595
96, 8, 0.000448759
96, 12, 0.000438527
96, 16, 0.000389973
96, 24, 0.000345142
96, 32, 0.000341068
96, 48, 0.000331678
98, 2, 0.0010749
98, 7, 0.000513746
98, 14, 0.000455996
98, 49, 0.000361058
100, 2, 0.0011946
100, 4, 0.000709
100, 5, 0.000656734
100, 10, 0.000473861
100, 20, 0.000404989
100, 25, 0.000403463
100, 50, 0.000377276
102, 2, 0.00118572
102, 3, 0.000931772
102, 6, 0.000595702
102, 17, 0.00047052
102, 34, 0.000406737
102, 51, 0.000407289
104, 2, 0.00129874
104, 4, 0.000777056
104, 8, 0.000553607
104, 13, 0.00056073
104, 26, 0.000440128
104, 52, 0.000409356
106, 2, 0.00124721
106, 53, 0.000428744
108, 2, 0.00138045
108, 3, 0.00106968
108, 4, 0.000825106
108, 6, 0.00069134
108, 9, 0.000590076
108, 12, 0.000578025
108, 18, 0.000509915
108, 27, 0.000481158
108, 36, 0.00044867
108, 54, 0.000446001
110, 2, 0.00138601
110, 5, 0.000777789
110, 10, 0.000571765
110, 11, 0.000686619
110, 22, 0.000513555
110, 55, 0.000481898
112, 2, 0.00149898
112, 4, 0.000900173
112, 7, 0.000726233
112, 8, 0.000646257
112, 14, 0.000624823
112, 16, 0.000560811
112, 28, 0.000496147
112, 56, 0.000480531
114, 2, 0.00148995
114, 3, 0.00117739
114, 6, 0.000757166
114, 19, 0.000607271
114, 38, 0.000523954
114, 57, 0.00051779
116, 2, 0.0016447
116, 4, 0.00098775
116, 29, 0.000565658
116, 58, 0.000537892
118, 2, 0.00161847
118, 59, 0.000577476
120, 2, 0.00176962
120, 3, 0.00139495
120, 4, 0.00107376
120, 5, 0.00100506
120, 6, 0.000903397
120, 8, 0.000775357
120, 10, 0.000736849
120, 12, 0.000765053
120, 15, 0.000773949
120, 20, 0.000635169
120, 24, 0.000604973
120, 30, 0.000613346
120, 40, 0.000582931
120, 60, 0.000586991
122, 2, 0.0021488
122, 61, 0.000697968
